,country,income,population,life_expectancy,continent
0,Abkhazia,,,,Asia
1,Afghanistan,1925.0,32526562.0,53.8,Asia
2,Akrotiri and Dhekelia,,,,Europe
3,Albania,10620.0,2896679.0,78.0,Europe
4,Algeria,13434.0,39666519.0,76.4,Africa
5,American Samoa,,55538.0,72.9,Oceania
6,Andorra,46577.0,70473.0,84.8,Europe
7,Angola,7615.0,25021974.0,59.6,Africa
8,Anguilla,,14614.0,,North America
9,Antigua and Barbuda,21049.0,91818.0,76.4,Central America
10,Argentina,17344.0,43416755.0,76.5,South America
11,Armenia,7763.0,3017712.0,74.7,Asia
12,Aruba,37138.0,103889.0,75.72,South America
13,Australia,44056.0,23968973.0,82.3,Australia
14,Austria,44401.0,8544586.0,81.3,Europe
15,Azerbaijan,16986.0,9753968.0,72.9,Asia
16,Bahamas,22818.0,388019.0,73.7,Central America
17,Bahrain,44138.0,1377237.0,79.1,Asia
18,Bangladesh,3161.0,160995642.0,70.4,Asia
19,Barbados,12984.0,284215.0,75.7,Central America
20,Belarus,17415.0,9495826.0,71.0,Europe
21,Belgium,41240.0,11299192.0,80.5,Europe
22,Belize,8501.0,359287.0,71.7,North America
23,Benin,1830.0,10879829.0,62.3,Africa
24,Bermuda,47081.0,62004.0,78.5,North America
25,Bhutan,7983.0,774830.0,72.7,Asia
26,Bolivia,6295.0,10724705.0,73.2,South America
27,Bosnia and Herzegovina,9833.0,3810416.0,78.9,Europe
28,Botswana,17196.0,2262485.0,58.7,Africa
29,Brazil,15441.0,207847528.0,74.4,South America
30,British Virgin Islands,,30117.0,,North America
31,Brunei,73003.0,423188.0,77.1,Asia
32,Bulgaria,16371.0,7149787.0,74.8,Europe
33,Burkina Faso,1654.0,18105570.0,60.9,Africa
34,Burundi,777.0,11178921.0,61.4,Africa
35,Cambodia,3267.0,15577899.0,69.4,Asia
36,Cameroon,2897.0,23344179.0,59.4,Africa
37,Canada,43294.0,35939927.0,81.7,North America
38,Cape Verde,6514.0,520502.0,72.9,Africa
39,Cayman Islands,49009.0,59967.0,,North America
40,Central African Republic,599.0,4900274.0,49.6,Africa
41,Chad,2191.0,14037472.0,57.4,Africa
42,Channel Islands,,163692.0,80.61,Europe
43,Chile,22465.0,17948141.0,79.4,South America
44,China,13334.0,1376048943.0,76.2,Asia
45,Christmas Island,,,,Asia
46,Cocos Island,,,,Asia
47,Colombia,12761.0,48228704.0,78.0,South America
48,Comoros,1472.0,788474.0,68.1,Africa
49,"Congo, Dem. Rep.",809.0,77266814.0,60.8,Africa
50,"Congo, Rep.",6220.0,4620330.0,61.5,Africa
51,Cook Is,,20833.0,,Oceania
52,Costa Rica,14132.0,4807850.0,80.3,Central America
53,Cote d'Ivoire,3491.0,22701556.0,59.1,Africa
54,Croatia,20260.0,4240317.0,77.8,Europe
55,Cuba,21291.0,11389562.0,78.2,South America
56,Cyprus,29797.0,1165300.0,81.8,Europe
57,Czech Republic,29437.0,10543186.0,78.8,Europe
58,Czechoslovakia,,,,Europe
59,Denmark,43495.0,5669081.0,80.4,Europe
60,Djibouti,3139.0,887861.0,63.8,Africa
61,Dominica,10503.0,72680.0,73.1,Central America
62,Dominican Republic,12837.0,10528391.0,75.3,Central America
63,East Germany,,,,Europe
64,Ecuador,10996.0,16144363.0,75.9,South America
65,Egypt,11031.0,91508084.0,71.5,Africa
66,El Salvador,7776.0,6126583.0,74.9,Central America
67,Equatorial Guinea,31087.0,845060.0,61.0,Africa
68,Eritrea,1129.0,5227791.0,60.7,Africa
69,Eritrea and Ethiopia,,,,Africa
70,Estonia,26812.0,1312558.0,77.8,Europe
71,Ethiopia,1520.0,99390750.0,65.2,Africa
72,Faeroe Islands,,48199.0,,Europe
73,Falkland Is (Malvinas),,2903.0,,South America
74,Fiji,7925.0,892145.0,65.8,Oceania
75,Finland,38923.0,5503457.0,80.9,Europe
76,France,37599.0,64395345.0,81.8,Europe
77,French Guiana,,268606.0,77.58,South America
78,French Polynesia,,282764.0,76.69,Oceania
79,Gabon,18627.0,1725292.0,65.9,Africa
80,Gambia,1644.0,1990924.0,68.1,Africa
81,Georgia,7474.0,3999812.0,72.9,Asia
82,Germany,44053.0,80688545.0,80.8,Europe
83,Ghana,4099.0,27409893.0,65.3,Africa
84,Gibraltar,,32217.0,,Europe
85,Greece,25430.0,10954617.0,81.0,Europe
86,Greenland,27763.0,56186.0,72.1,North America
87,Grenada,11593.0,106825.0,71.5,North America
88,Guadeloupe,,468450.0,81.41,North America
89,Guam,,169885.0,71.7,Oceania
90,Guatemala,7279.0,16342897.0,72.6,Central America
91,Guernsey,,,,Europe
92,Guinea,1225.0,12608590.0,59.1,Africa
93,Guinea-Bissau,1386.0,1844325.0,55.6,Africa
94,Guyana,6816.0,767085.0,66.8,South America
95,Haiti,1710.0,10711067.0,64.3,Central America
96,Holy See,,800.0,,Europe
97,Honduras,4270.0,8075060.0,73.0,Central America
98,"Hong Kong, China",53874.0,7287983.0,83.73,Asia
99,Hungary,24200.0,9855023.0,76.7,Europe
100,Iceland,42182.0,329425.0,83.3,Europe
101,India,5903.0,1311050527.0,67.2,Asia
102,Indonesia,10504.0,257563815.0,71.1,Asia
103,Iran,15573.0,79109272.0,74.6,Asia
104,Iraq,14646.0,36423395.0,67.4,Asia
105,Ireland,47758.0,4688465.0,81.7,Europe
106,Isle of Man,,87780.0,,Europe
107,Israel,31590.0,8064036.0,82.1,Asia
108,Italy,33297.0,59797685.0,82.2,Europe
109,Jamaica,8606.0,2793335.0,75.0,Central America
110,Japan,36162.0,126573481.0,83.2,Asia
111,Jersey,,,,Europe
112,Jordan,11752.0,7594547.0,78.5,Asia
113,Kazakhstan,23468.0,17625226.0,70.2,Asia
114,Kenya,2898.0,46050302.0,65.1,Africa
115,Kiribati,1824.0,112423.0,63.0,Oceania
116,North Korea,1390.0,25155317.0,72.1,Asia
117,South Korea,34644.0,50293439.0,81.0,Asia
118,"United Korea (former)
",,,,
119,Kosovo,9021.0,,,Europe
